Pollutant,Season,Value,Time
NO₂,Winter,34.4650435,2009
NO₂,Spring,30.77485013,2009
NO₂,Summer,25.99640175,2009
NO₂,Fall,26.86138765,2009
NO₂,Winter,28.92589413,2010
NO₂,Spring,29.49423705,2010
NO₂,Summer,24.17232583,2010
NO₂,Fall,25.00371726,2010
NO₂,Winter,32.371488,2011
NO₂,Spring,24.90508646,2011
NO₂,Summer,23.42987246,2011
NO₂,Fall,28.20283572,2011
NO₂,Winter,26.78104455,2012
NO₂,Spring,25.27600917,2012
NO₂,Summer,21.53873528,2012
NO₂,Fall,24.67852889,2012
NO₂,Winter,27.90856859,2013
NO₂,Spring,23.93706407,2013
NO₂,Summer,20.69329991,2013
NO₂,Fall,23.27920352,2013
NO₂,Winter,30.0674547,2014
NO₂,Spring,23.18713412,2014
NO₂,Summer,18.54699305,2014
NO₂,Fall,21.13204646,2014
NO₂,Winter,27.5353986,2015
NO₂,Spring,23.45117661,2015
NO₂,Summer,18.33481875,2015
NO₂,Fall,21.29623052,2015
NO₂,Winter,25.57598741,2016
NO₂,Spring,21.24367072,2016
NO₂,Summer,17.08369844,2016
NO₂,Fall,21.94480409,2016
NO₂,Winter,27.38428593,2017
NO₂,Spring,21.26149355,2017
NO₂,Summer,17.83882537,2017
NO₂,Fall,21.26564284,2017
NO₂,Winter,26.37784933,2018
NO₂,Spring,21.28502925,2018
NO₂,Summer,16.65532225,2018
NO₂,Fall,19.65467124,2018
NO₂,Winter,25.20672128,2019
NO₂,Spring,18.10582687,2019
NO₂,Summer,16.58869581,2019
NO₂,Fall,19.34491962,2019
NO₂,Winter,25.84102395,2020
NO₂,Spring,13.3570164,2020
NO₂,Summer,13.07306673,2020
NO₂,Fall,19.31745204,2020
NO₂,Winter,22.67108749,2021
NO₂,Spring,17.58311022,2021
NO₂,Summer,13.82375379,2021
NO₂,Fall,18.92734641,2021
PM₂.₅,Winter,14.39426926,2009
PM₂.₅,Spring,11.71379752,2009
PM₂.₅,Summer,12.0989366,2009
PM₂.₅,Fall,8.936852808,2009
PM₂.₅,Winter,11.08314471,2010
PM₂.₅,Spring,10.86648452,2010
PM₂.₅,Summer,13.32747171,2010
PM₂.₅,Fall,8.449239525,2010
PM₂.₅,Winter,13.94545919,2011
PM₂.₅,Spring,9.357139353,2011
PM₂.₅,Summer,12.95579707,2011
PM₂.₅,Fall,9.751865587,2011
PM₂.₅,Winter,10.08691462,2012
PM₂.₅,Spring,9.350779297,2012
PM₂.₅,Summer,11.25946641,2012
PM₂.₅,Fall,8.84790158,2012
PM₂.₅,Winter,11.54477671,2013
PM₂.₅,Spring,7.88645195,2013
PM₂.₅,Summer,10.86124645,2013
PM₂.₅,Fall,8.322448579,2013
PM₂.₅,Winter,13.38114686,2014
PM₂.₅,Spring,9.236811305,2014
