Pollutant,Year,Tertile,Value ,Source
SO2,2009,1,5.222590172,Night-Time Population Density
SO2,2009,2,6.574072451,Night-Time Population Density
SO2,2009,3,5.3782245,Night-Time Population Density
SO2,2010,1,3.549975457,Night-Time Population Density
SO2,2010,2,4.733224519,Night-Time Population Density
SO2,2010,3,4.01950356,Night-Time Population Density
SO2,2011,1,4.226940043,Night-Time Population Density
SO2,2011,2,5.573913075,Night-Time Population Density
SO2,2011,3,4.671847693,Night-Time Population Density
SO2,2012,1,2.275128894,Night-Time Population Density
SO2,2012,2,3.674417967,Night-Time Population Density
SO2,2012,3,2.885332895,Night-Time Population Density
SO2,2013,1,1.394060448,Night-Time Population Density
SO2,2013,2,2.170644916,Night-Time Population Density
SO2,2013,3,1.71817783,Night-Time Population Density
SO2,2014,1,1.567140448,Night-Time Population Density
SO2,2014,2,2.017260113,Night-Time Population Density
SO2,2014,3,1.800346106,Night-Time Population Density
SO2,2015,1,0.787529969,Night-Time Population Density
SO2,2015,2,1.024371194,Night-Time Population Density
SO2,2015,3,0.847827914,Night-Time Population Density
SO2,2016,1,0.242413684,Night-Time Population Density
SO2,2016,2,0.26112471,Night-Time Population Density
SO2,2016,3,0.254632314,Night-Time Population Density
SO2,2017,1,0.212614411,Night-Time Population Density
SO2,2017,2,0.241837419,Night-Time Population Density
SO2,2017,3,0.172090151,Night-Time Population Density
SO2,2018,1,0.165873462,Night-Time Population Density
SO2,2018,2,0.369879253,Night-Time Population Density
SO2,2018,3,0.126958567,Night-Time Population Density
SO2,2019,1,0.12922071,Night-Time Population Density
SO2,2019,2,0.123118557,Night-Time Population Density
SO2,2019,3,0.153863283,Night-Time Population Density
SO2,2020,1,0.059964356,Night-Time Population Density
SO2,2020,2,0.084917594,Night-Time Population Density
SO2,2020,3,0.135189832,Night-Time Population Density
SO2,2021,1,0.071120734,Night-Time Population Density
SO2,2021,2,0.059756195,Night-Time Population Density
SO2,2021,3,0.195124578,Night-Time Population Density
SO2,2009,1,5.072051552,Boilers Using Residual Oil
SO2,2009,2,5.570977567,Boilers Using Residual Oil
SO2,2009,3,6.529636191,Boilers Using Residual Oil
SO2,2010,1,3.461951459,Boilers Using Residual Oil
SO2,2010,2,4.133949281,Boilers Using Residual Oil
SO2,2010,3,4.70541218,Boilers Using Residual Oil
SO2,2011,1,4.323782107,Boilers Using Residual Oil
SO2,2011,2,4.807614635,Boilers Using Residual Oil
SO2,2011,3,5.32906149,Boilers Using Residual Oil
SO2,2012,1,2.407597173,Boilers Using Residual Oil
SO2,2012,2,2.922610794,Boilers Using Residual Oil
SO2,2012,3,3.495737781,Boilers Using Residual Oil
SO2,2013,1,1.31403358,Boilers Using Residual Oil
SO2,2013,2,1.590841411,Boilers Using Residual Oil
SO2,2013,3,2.388922061,Boilers Using Residual Oil
SO2,2014,1,1.469766577,Boilers Using Residual Oil
SO2,2014,2,1.713265027,Boilers Using Residual Oil
SO2,2014,3,2.201715063,Boilers Using Residual Oil
SO2,2015,1,0.791613902,Boilers Using Residual Oil
SO2,2015,2,0.893492674,Boilers Using Residual Oil
SO2,2015,3,0.959753764,Boilers Using Residual Oil
SO2,2016,1,0.218945276,Boilers Using Residual Oil
SO2,2016,2,0.229588289,Boilers Using Residual Oil
SO2,2016,3,0.312190428,Boilers Using Residual Oil
SO2,2017,1,0.190624405,Boilers Using Residual Oil
SO2,2017,2,0.178772254,Boilers Using Residual Oil
SO2,2017,3,0.257145321,Boilers Using Residual Oil
SO2,2018,1,0.154836081,Boilers Using Residual Oil
SO2,2018,2,0.183983862,Boilers Using Residual Oil
SO2,2018,3,0.342065618,Boilers Using Residual Oil
SO2,2019,1,0.10057873,Boilers Using Residual Oil
SO2,2019,2,0.105481698,Boilers Using Residual Oil
SO2,2019,3,0.204195993,Boilers Using Residual Oil
SO2,2020,1,0.064997004,Boilers Using Residual Oil
SO2,2020,2,0.061037967,Boilers Using Residual Oil
SO2,2020,3,0.149085629,Boilers Using Residual Oil
SO2,2021,1,0.062645789,Boilers Using Residual Oil
SO2,2021,2,0.085633037,Boilers Using Residual Oil
SO2,2021,3,0.187290832,Boilers Using Residual Oil
PM25,2009,1,10.60639904,Boiler PM₂.₅ Emissions
PM25,2009,2,11.33454033,Boiler PM₂.₅ Emissions
PM25,2009,3,13.5036169,Boiler PM₂.₅ Emissions
PM25,2010,1,9.892772421,Boiler PM₂.₅ Emissions
PM25,2010,2,10.47911216,Boiler PM₂.₅ Emissions
